1 2.02471 2.02471 0
2 2.18408 2.10439 0.056344
3 2.11039 2.10639 0.0375981
4 1.9854 2.07614 0.0384878
5 2.14417 2.08975 0.0331078
6 2.17815 2.10448 0.0306938
7 2.06899 2.09941 0.0267244
8 2.1224 2.10229 0.0235379
9 2.09659 2.10165 0.020931
10 2.03874 2.09536 0.0197608
11 2.11686 2.09732 0.0180607
12 2.01387 2.09036 0.0178443
13 2.02933 2.08567 0.0170781
14 2.19606 2.09355 0.0175847
15 2.13044 2.09601 0.0165834
16 2.16434 2.10028 0.0160874
17 2.19608 2.10592 0.0160977
18 2.00307 2.1002 0.0161858
19 2.10962 2.1007 0.0153415
20 2.15092 2.10321 0.0147785
